codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
1900,1,5,0,1,29,5,0,1,.9939,5,5,1,5,1,2,3
1904,0,1,0,1,0,1,0,1,.96939999,4,1,1,1,1,3,2
1940,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1990,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2000,0,1,5,4,1,4,0,1,.96249998,4,1,5,5,1,3,3
2008,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2010,0,1,0,,0,,0,1,.9368,3,1,1,1,1,3,2
2010,0,1,0,,0,,0,1,.90880001,3,1,1,1,1,4,2
2010,0,1,0,,0,,0,1,.9777,4,1,1,1,1,3,2
2020,0,1,0,,0,,0,1,.86519998,2,1,1,1,1,4,2
2020,0,1,0,,0,,0,1,.92909998,3,1,1,1,1,4,2
2040,0,1,0,,0,,0,1,.98470002,4,1,1,1,1,3,2
2040,0,1,0,,0,,0,1,.88870001,2,1,1,1,1,4,2
2050,1,5,0,,0,,0,1,.99180001,5,5,1,1,1,2,3
2050,1,5,0,,0,,0,1,.90240002,3,5,1,1,1,4,3
2050,1,5,0,,0,,0,1,.90240002,3,5,1,1,1,4,3
2060,0,1,0,,0,,0,1,.96509999,4,1,1,1,1,3,2
2060,0,1,0,,0,,0,1,.9641,4,1,1,1,1,3,2
2070,1,5,0,,0,,1,5,.9066,3,5,1,1,5,4,4
2070,1,5,0,,0,,1,5,.9066,3,5,1,1,5,4,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2070,1,5,0,,0,,1,5,.98000002,4,5,1,1,5,3,4
2080,0,1,0,,0,,0,1,.99479997,5,1,1,1,1,2,2
2080,0,1,0,,0,,0,1,.97890002,4,1,1,1,1,3,2
2090,0,1,11,4,0,1,0,1,.97350001,4,1,5,1,1,3,2
2099,0,1,3,3,0,1,0,1,.9152,3,1,4,1,1,4,3
2100,0,1,31,5,0,,0,1,.98470002,4,1,5,1,1,3,2
2100,0,1,31,5,0,,0,1,.98470002,4,1,5,1,1,3,2
2109,0,,0,,0,,0,,1,,1,1,1,1,2,2
2109,0,,0,,0,,0,,1,,1,1,1,1,2,2
2110,0,1,9,4,0,,0,1,.93489999,3,1,5,1,1,3,2
2110,0,1,9,4,0,,0,1,.93489999,3,1,5,1,1,3,2
2120,0,1,10,4,0,1,0,1,.95609999,4,1,5,1,1,3,2
2125,0,1,20,5,0,1,0,1,.95609999,4,1,5,1,1,3,2
2127,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2128,0,1,0,1,0,1,0,1,.99690002,5,1,1,1,1,2,2
2129,0,1,1,2,0,1,0,1,.89039999,2,1,4,1,1,4,3
2130,0,1,0,1,0,1,0,1,.88150001,2,1,1,1,1,4,2
2140,0,1,0,1,0,1,0,1,.87510002,2,1,1,1,1,4,2
2150,1,5,1,2,0,,0,1,.9461,3,5,4,1,1,3,3
2150,1,5,1,2,0,,0,1,.9461,3,5,4,1,1,3,3
2160,0,1,4,4,0,1,0,1,.9788,4,1,4,1,1,3,2
2169,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2200,1,5,2,3,0,1,0,1,.94559997,3,5,4,1,1,3,3
2230,0,1,9,4,0,1,0,1,.94529998,3,1,5,1,1,3,2
2240,0,1,0,,0,,0,1,.93690002,3,1,1,1,1,3,2
2240,0,1,0,,0,,0,1,.87709999,2,1,1,1,1,4,2
2240,0,1,0,,0,,0,1,.93690002,3,1,1,1,1,3,2
2240,0,1,0,,0,,0,1,.87709999,2,1,1,1,1,4,2
2250,0,1,8,4,0,1,0,1,.90920001,3,1,5,1,1,4,3
2260,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2300,0,1,33,5,3,5,0,1,.861,2,1,5,5,1,4,3
2310,0,1,9,4,0,1,0,1,.81720001,2,1,5,1,1,5,3
2320,0,1,0,1,1,4,0,1,.9357,3,1,1,5,1,3,3
2330,0,1,0,1,0,1,0,1,.92769998,3,1,1,1,1,4,2
2340,0,1,0,1,0,1,0,1,.71130002,1,1,1,1,1,5,2
2350,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2360,0,1,9,4,0,1,0,1,.74409997,1,1,5,1,1,5,3
2400,0,1,0,,0,,0,1,.91070002,3,1,1,1,1,4,2
2400,0,1,0,,0,,0,1,.91070002,3,1,1,1,1,4,2
2400,0,1,0,,0,,0,1,.91070002,3,1,1,1,1,4,2
2409,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2410,0,1,6,4,0,1,0,1,.99870002,5,1,5,1,1,2,2
2419,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2420,0,1,2,3,0,,0,1,.995,5,1,4,1,1,2,2
2420,0,1,2,3,0,,0,1,.995,5,1,4,1,1,2,2
2430,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2440,0,1,8,4,0,1,0,1,.90990001,3,1,5,1,1,4,3
2450,0,,1,2,0,,0,,1,,1,4,1,1,2,2
2450,0,,1,2,0,,0,,1,,1,4,1,1,2,2
2459,0,1,13,4,0,1,0,1,.95190001,4,1,5,1,1,3,2
2460,0,1,11,4,0,,0,1,.99129999,5,1,5,1,1,2,2
2460,0,1,11,4,0,,0,1,.99129999,5,1,5,1,1,2,2
2470,0,1,3,3,0,1,0,1,.91530001,3,1,4,1,1,4,3
2479,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2480,0,1,4,4,0,1,0,1,.98989999,5,1,4,1,1,2,2
2490,0,1,5,4,0,,0,1,.95789999,4,1,5,1,1,3,2
2490,0,1,5,4,0,,0,1,.95789999,4,1,5,1,1,3,2
2500,0,1,0,1,0,1,0,1,.99659997,5,1,1,1,1,2,2
2510,0,1,0,1,0,,0,1,.9199,3,1,1,1,1,4,2
2510,0,1,0,1,0,,0,1,.9199,3,1,1,1,1,4,2
2519,0,1,0,1,0,1,0,1,.9199,3,1,1,1,1,4,2
2520,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2525,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2530,0,1,0,1,0,1,0,1,.97140002,4,1,1,1,1,3,2
2540,0,,0,,0,1,0,,1,,1,1,1,1,2,2
2600,0,1,1,2,0,1,0,1,.95200002,4,1,4,1,1,3,2
2630,0,1,0,,0,,0,1,.75489998,1,1,1,1,1,5,2
2630,0,1,0,,0,,0,1,.75489998,1,1,1,1,1,5,2
2640,0,1,0,1,0,1,0,1,.9077,3,1,1,1,1,4,2
2650,0,1,4,4,0,1,0,1,.96359998,4,1,4,1,1,3,2
2660,0,1,0,1,0,1,0,1,.91869998,3,1,1,1,1,4,2
