codigo,reportesretio,freportesretio
16860,0,1
16866,0,1
16869,0,1
16870,0,1
16889,0,1
16900,0,1
16908,0,1
16909,0,1
16910,0,1
52105,1,4
52764,1,4
52780,1,4
52786,1,4
52787,1,4
52927,2,5
53000,2,5
53050,1,4
53100,6,5
53160,1,4
53200,1,4
53310,1,4
53370,1,4
53398,4,5
53489,1,4
53910,1,4
54000,1,4
54015,2,5
54020,3,5
54080,1,4
54150,1,4
54180,1,4
54720,1,4
54730,1,4
54745,6,5
54769,2,5
54879,1,4
54900,3,5
54913,1,4
54949,1,4
55000,1,4
55070,1,4
55280,2,5
55349,2,5
55390,1,4
55700,1,4
55719,1,4
55760,1,4
56400,1,4
56615,2,5
56619,1,4
57100,4,5
57120,1,4
57170,3,5
57185,1,4
57200,2,5
57310,1,4
