codigo,aguaresidual,faguaresidual
14710,0,1
14720,0,1
14730,0,1
14734,0,1
14737,0,1
14738,0,1
14739,0,1
14740,0,1
14749,0,1
14750,0,1
14760,0,1
14780,0,1
14790,0,1
14900,0,1
15000,1,5
15010,0,1
15020,1,5
15100,0,1
15120,0,1
15200,0,1
15210,0,1
15230,0,1
15240,0,1
15250,0,1
15260,0,1
15270,0,1
15280,0,1
15290,0,1
15299,0,1
15300,0,1
15309,0,1
15320,0,1
15330,0,1
15339,0,1
15340,0,1
15350,0,1
15370,0,1
15380,0,1
15390,0,1
15400,0,1
15410,0,1
15420,0,1
15430,0,1
15440,0,1
15450,0,1
15460,0,1
15470,0,1
15500,0,1
15510,0,1
15520,0,1
15530,0,1
15540,0,1
15610,0,1
15620,0,1
15630,0,1
15650,0,1
15669,0,1
15670,0,1
15700,0,1
15710,0,1
15720,0,1
15730,0,1
15740,0,1
15750,0,1
15800,0,1
15810,1,5
15820,1,5
15829,0,1
15830,0,1
15840,0,1
15850,0,1
15860,0,1
15870,0,1
15900,0,1
15909,0,1
15940,0,1
15950,0,1
15960,0,1
15968,0,1
15970,0,1
15980,0,1
15990,0,1
16001,1,5
16019,0,1
16029,0,1
16034,0,1
16036,0,1
16038,0,1
16039,0,1
16057,0,1
16058,0,1
16060,0,1
16095,0,1
16098,0,1
16099,0,1
16100,0,1
16105,0,1
16200,0,1
16210,0,1
16220,0,1
16244,0,1
16247,0,1
16248,0,1
16300,0,1
16310,0,1
16320,0,1
16330,0,1
16340,0,1
16400,0,1
16410,0,1
16420,0,1
16428,0,1
16429,0,1
16430,0,1
16440,0,1
16443,0,1
16450,0,1
16457,0,1
16459,0,1
16500,0,1
16510,0,1
16515,0,1
16533,0,1
16600,0,1
16604,0,1
16605,0,1
16606,0,1
16607,0,1
16609,0,1
16610,0,1
16614,0,1
16615,0,1
16616,0,1
16617,0,1
16620,0,1
16630,0,1
16640,0,1
16710,0,1
16720,0,1
16739,0,1
16740,0,1
16749,0,1
16750,0,1
16770,0,1
16797,0,1
16799,0,1
16800,1,5
16808,0,1
16809,0,1
16813,0,1
16860,0,1
16866,0,1
16869,0,1
16870,0,1
16889,0,1
16900,0,1
16908,0,1
16909,0,1
16910,0,1
52105,0,1
52764,0,1
52780,0,1
52786,0,1
52787,0,1
52927,0,1
53000,0,1
53050,0,1
53100,0,1
53160,0,1
53200,0,1
53310,0,1
53370,0,1
53398,0,1
53489,0,1
53910,0,1
54000,0,1
54015,0,1
54020,0,1
54080,0,1
54150,0,1
54180,0,1
54720,0,1
54730,0,1
54745,0,1
54769,0,1
54879,0,1
54900,0,1
54913,0,1
54949,0,1
55000,0,1
55070,0,1
55280,0,1
55349,0,1
55390,0,1
55700,0,1
55719,0,1
55760,0,1
56400,0,1
56615,0,1
56619,0,1
57100,0,1
57120,0,1
57170,0,1
57185,0,1
57200,0,1
57310,0,1
