codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
3330,0,1,0,1,0,1,0,1,.97310001,4,0,1,1,1,1,4,2
3339,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
3340,0,1,0,1,3,5,0,1,.99620003,5,0,1,1,5,1,5,3
3410,0,1,1,2,0,1,0,1,.99129999,5,0,1,3,1,1,5,3
3420,0,1,1,2,0,1,0,1,.99559999,5,0,1,3,1,1,5,3
3430,0,1,0,1,1,4,0,1,.9921,5,0,1,1,4,1,5,3
3440,0,1,3,3,0,1,1,5,.96380001,4,0,1,4,1,5,4,4
3500,1,5,10,4,4,5,0,1,.99409997,5,0,5,5,5,1,5,5
3510,0,1,8,4,0,1,0,1,.99440002,5,0,1,4,1,1,5,3
3520,0,1,1,2,1,4,0,1,.99669999,5,0,1,3,4,1,5,3
3530,1,5,0,1,1,4,0,1,.99010003,5,0,5,1,4,1,5,4
3540,0,1,2,3,1,4,0,1,.99349999,5,0,1,4,4,1,5,3
3550,0,1,2,3,0,1,0,1,.9921,5,0,1,4,1,1,5,3
3560,0,1,0,1,0,1,0,1,.99250001,5,0,1,1,1,1,5,2
3570,0,1,21,5,1,4,0,1,.99290001,5,0,1,5,4,1,5,3
3580,0,1,1,2,1,4,0,1,.99370003,5,0,1,3,4,1,5,3
3590,0,1,1,2,3,5,0,1,1,5,0,1,3,5,1,5,3
3600,0,1,5,4,0,1,0,1,.99430001,5,0,1,4,1,1,5,3
3610,0,1,38,5,0,1,0,1,.99129999,5,0,1,5,1,1,5,3
3620,0,1,0,1,0,1,0,1,.99349999,5,0,1,1,1,1,5,2
3630,0,1,6,4,0,1,0,1,.9896,4,0,1,4,1,1,5,3
3640,0,1,6,4,0,1,0,1,1,5,0,1,4,1,1,5,3
3650,1,5,1,2,2,5,0,1,.99919999,5,0,5,3,5,1,5,4
3660,1,5,7,4,0,1,0,1,.98760003,4,0,5,4,1,1,5,4
3700,0,1,1,2,1,4,0,1,.99589998,5,0,1,3,4,1,5,3
3710,1,5,1,2,2,5,0,1,.98930001,4,0,5,3,5,1,5,4
3720,0,1,0,1,0,1,0,1,.99989998,5,0,1,1,1,1,5,2
3730,0,1,1,2,1,4,0,1,.98040003,4,0,1,3,4,1,5,3
3740,0,1,6,4,0,1,0,1,.99760002,5,0,1,4,1,1,5,3
3800,0,1,0,1,5,5,0,1,.99659997,5,0,1,1,5,1,5,3
