codigo,basureros,reporte_falta_agua,reportesretio,aguaresidual,adecuacinsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
2000,0,5,1,0,.9625,1,5,5,1,2,3
2008,0,0,0,0,,1,1,1,1,,0
2010,0,0,0,0,.9368,1,1,1,1,3,3
2010,0,0,0,0,.9088000000000001,1,1,1,1,3,3
2010,0,0,0,0,.9777,1,1,1,1,2,2
2020,0,0,0,0,.9291,1,1,1,1,3,3
2020,0,0,0,0,.8652,1,1,1,1,4,4
2040,0,0,0,0,.8887000000000001,1,1,1,1,4,4
2040,0,0,0,0,.9847,1,1,1,1,2,2
2050,1,0,0,0,.9918,5,1,1,1,1,2
2050,1,0,0,0,.9024,5,1,1,1,3,3
2050,1,0,0,0,,5,1,1,1,,0
2060,0,0,0,0,.9641,1,1,1,1,2,2
2060,0,0,0,0,.9651,1,1,1,1,2,2
2070,1,0,0,1,.9066,5,1,1,5,3,4
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,.98,5,1,1,5,2,3
2070,1,0,0,1,.9066,5,1,1,5,3,4
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2070,1,0,0,1,,5,1,1,5,,0
2080,0,0,0,0,.9789,1,1,1,1,2,2
2080,0,0,0,0,.9948,1,1,1,1,1,1
2090,0,11,0,0,.9735,1,5,1,1,2,2
2099,0,3,0,0,.9152,1,4,1,1,3,3
2100,0,31,0,0,,1,5,1,1,,0
2100,0,31,0,0,.9847,1,5,1,1,2,2
2109,0,0,0,0,,1,1,1,1,,0
2109,0,0,0,0,,1,1,1,1,,0
2110,0,9,0,0,.9349,1,5,1,1,3,3
2110,0,9,0,0,,1,5,1,1,,0
2120,0,10,0,0,.9561,1,5,1,1,2,2
2125,0,20,0,0,.9561,1,5,1,1,2,2
2127,0,0,0,0,,1,1,1,1,,0
2128,0,0,0,0,.9969,1,1,1,1,1,1
2129,0,1,0,0,.8904,1,4,1,1,4,4
2130,0,0,0,0,.8815,1,1,1,1,4,4
2140,0,0,0,0,.8751,1,1,1,1,4,4
2150,1,1,0,0,.9461000000000001,5,4,1,1,3,3
2150,1,1,0,0,,5,4,1,1,,0
2160,0,4,0,0,.9788,1,4,1,1,2,2
2169,0,0,0,0,,1,1,1,1,,0
2200,1,2,0,0,.9456,5,4,1,1,3,3
2230,0,9,0,0,.9453,1,5,1,1,3,3
2240,0,0,0,0,.8771,1,1,1,1,4,4
2240,0,0,0,0,.8771,1,1,1,1,4,4
2240,0,0,0,0,,1,1,1,1,,0
2240,0,0,0,0,.9369,1,1,1,1,3,3
2250,0,8,0,0,.9092,1,5,1,1,3,3
2260,0,0,0,0,,1,1,1,1,,0
2300,0,33,3,0,.861,1,5,5,1,4,4
2310,0,9,0,0,.8172,1,5,1,1,4,4
2320,0,0,1,0,.9357,1,1,5,1,3,3
2330,0,0,0,0,.9277,1,1,1,1,3,3
2340,0,0,0,0,.7113,1,1,1,1,5,5
2350,0,0,0,0,,1,1,1,1,,0
2360,0,9,0,0,.7441,1,5,1,1,5,5
2400,0,0,0,0,,1,1,1,1,,0
2400,0,0,0,0,.9107,1,1,1,1,3,3
2400,0,0,0,0,.9107,1,1,1,1,3,3
2409,0,0,0,0,,1,1,1,1,,0
2410,0,6,0,0,.9987,1,5,1,1,1,2
2419,0,0,0,0,,1,1,1,1,,0
2420,0,2,0,0,,1,4,1,1,,0
2420,0,2,0,0,.995,1,4,1,1,1,2
2430,0,0,0,0,,1,1,1,1,,0
2440,0,8,0,0,.9099,1,5,1,1,3,3
2450,0,1,0,0,,1,4,1,1,,0
2450,0,1,0,0,,1,4,1,1,,0
2459,0,13,0,0,.9519,1,5,1,1,2,2
2460,0,11,0,0,,1,5,1,1,,0
2460,0,11,0,0,.9913,1,5,1,1,1,2
2470,0,3,0,0,.9153,1,4,1,1,3,3
2479,0,0,0,0,,1,1,1,1,,0
2480,0,4,0,0,.9899,1,4,1,1,2,2
2490,0,5,0,0,.9579,1,5,1,1,2,2
2490,0,5,0,0,,1,5,1,1,,0
2500,0,0,0,0,.9966,1,1,1,1,1,1
2510,0,0,0,0,.9199000000000001,1,1,1,1,3,3
2510,0,0,0,0,,1,1,1,1,,0
2519,0,0,0,0,.9199000000000001,1,1,1,1,3,3
2520,0,0,0,0,,1,1,1,1,,0
2525,0,0,0,0,,1,1,1,1,,0
2530,0,0,0,0,.9714,1,1,1,1,2,2
2540,0,0,0,0,,1,1,1,1,,0
2600,0,1,0,0,.952,1,4,1,1,2,2
2630,0,0,0,0,.7549,1,1,1,1,5,5
2630,0,0,0,0,.7549,1,1,1,1,5,5
2640,0,0,0,0,.9077,1,1,1,1,3,3
2650,0,4,0,0,.9636,1,4,1,1,2,2
2660,0,0,0,0,.9187,1,1,1,1,3,3
2670,0,6,0,0,.9231,1,5,1,1,3,3
2680,0,0,0,0,.916,1,1,1,1,3,3
2700,0,13,0,0,.8576,1,5,1,1,4,4
2710,0,40,0,0,,1,5,1,1,,0
2710,0,40,0,0,.9349,1,5,1,1,3,3
2718,0,0,0,0,,1,1,1,1,,0
2719,0,1,1,0,.8383000000000001,1,4,5,1,4,4
2720,0,0,0,0,.9895000000000001,1,1,1,1,2,2
2720,0,0,0,0,.9187,1,1,1,1,3,3
2729,0,0,0,0,,1,1,1,1,,0
2730,0,27,0,0,.9703000000000001,1,5,1,1,2,2
2739,0,0,0,0,,1,1,1,1,,0
2750,0,66,0,0,.8293,1,5,1,1,4,4
2750,0,66,0,0,,1,5,1,1,,0
2750,0,66,0,0,,1,5,1,1,,0
2760,0,0,0,0,.9443,1,1,1,1,3,3
2760,0,0,0,0,1,1,1,1,1,1,1
2770,0,0,0,0,.8267,1,1,1,1,4,4
2780,0,0,0,0,.9359,1,1,1,1,3,3
2790,1,32,0,0,.9471000000000001,5,5,1,1,3,3
2800,0,25,0,0,.9967,1,5,1,1,1,2
2810,0,0,0,0,.9498,1,1,1,1,3,3
2810,0,0,0,0,.9246,1,1,1,1,3,3
2820,0,0,1,0,,1,1,5,1,,0
2830,0,0,0,0,,1,1,1,1,,0
2830,0,0,0,0,.9236,1,1,1,1,3,3
2840,0,0,0,0,.9856,1,1,1,1,2,2
2840,0,0,0,0,,1,1,1,1,,0
2850,0,1,0,0,.9496,1,4,1,1,3,3
2860,0,9,4,0,.9496,1,5,5,1,3,3
2870,0,3,0,0,.97,1,4,1,1,2,2
2900,0,0,0,0,.9086,1,1,1,1,3,3
2910,0,3,0,0,.9257,1,4,1,1,3,3
2920,0,2,0,0,.9607,1,4,1,1,2,2
2930,0,0,0,0,.9134,1,1,1,1,3,3
2940,0,0,0,0,.9597,1,1,1,1,2,2
2950,0,17,0,0,.9341,1,5,1,1,3,3
2960,0,1,0,0,.7625,1,4,1,1,5,5
2970,0,0,0,0,.8595,1,1,1,1,4,4
2980,0,0,0,0,.8389,1,1,1,1,4,4
2980,0,0,0,0,.9088000000000001,1,1,1,1,3,3
2990,0,3,3,0,.9675,1,4,5,1,2,3
3000,0,9,3,0,.997,1,5,5,1,1,2
3010,0,5,0,0,.9952,1,5,1,1,1,2
3020,1,11,0,0,,5,5,1,1,,0
3020,1,11,0,0,.9946,5,5,1,1,1,2
3023,0,25,0,0,,1,5,1,1,,0
3023,0,25,0,0,.9915000000000001,1,5,1,1,1,2
3027,0,0,0,0,,1,1,1,1,,0
3028,0,0,0,0,,1,1,1,1,,0
3100,1,0,0,0,.9972,5,1,1,1,1,2
3100,1,0,0,0,.9962,5,1,1,1,1,2
3100,1,0,0,0,.9962,5,1,1,1,1,2
3100,1,0,0,0,.9962,5,1,1,1,1,2
3100,1,0,0,0,.9962,5,1,1,1,1,2
3103,0,19,0,0,.9977,1,5,1,1,1,2
3104,0,27,0,0,.9972,1,5,1,1,1,2
3109,0,0,0,0,,1,1,1,1,,0
3199,0,1,0,0,,1,4,1,1,,0
3200,0,21,4,0,.9913,1,5,5,1,1,2
3219,0,0,0,0,,1,1,1,1,,0
3220,0,0,0,0,,1,1,1,1,,0
3229,0,0,0,0,,1,1,1,1,,0
3230,0,4,5,0,.9976,1,4,5,1,1,2
3240,1,13,3,0,1,5,5,5,1,1,2
3300,0,8,7,1,.9925000000000001,1,5,5,5,1,2
3303,0,5,0,0,.9906,1,5,1,1,1,2
3310,0,19,3,1,.9815,1,5,5,5,2,3
3311,0,0,0,1,,1,1,1,5,,0
3313,0,0,0,0,,1,1,1,1,,0
3319,1,1,0,0,,5,4,1,1,,0
3320,0,1,1,0,.9534,1,4,5,1,2,3
3330,0,0,0,0,.9731,1,1,1,1,2,2
3339,0,0,0,0,,1,1,1,1,,0
3340,0,0,3,0,.9962,1,1,5,1,1,2
3400,1,0,2,0,.9947,5,1,5,1,1,2
3400,1,0,2,0,.9947,5,1,5,1,1,2
3410,0,1,0,0,.9913,1,4,1,1,1,2
3420,0,1,0,0,.9956,1,4,1,1,1,2
3430,0,0,1,0,.9921,1,1,5,1,1,2
3440,0,3,0,1,.9638,1,4,1,5,2,3
3500,1,10,4,0,.9941,5,5,5,1,1,2
3510,0,8,0,0,.9944,1,5,1,1,1,2
